Subject,ChannelIndex,ROI,ClassLabel,TrainAccuracy,FixationAccuracy,EncodingAccuracy,DelayAccuracy
k12wm002,36,L IFG (p Opercularis),4,0.843,0.613,0.718,0.697
k12wm008,133,L Middle Temporal Gyrus,2,0.77,0.723,0.703,0.697
k12wm013,11,L Rolandic Operculum,3,1,0.636,0.879,0.697
k12wm010,87,Left Cerebral White Matter,4,0.779,0.72,0.768,0.696
k12wm011,123,L IFG (p Triangularis),3,1,0.674,0.733,0.696
k12wm008,7,R Inferior Temporal Gyrus,2,0.7,0.722,0.669,0.695
k12wm008,70,R Inferior Temporal Gyrus,3,0.936,0.376,0.841,0.694
k12wm011,164,L Medial Temporal Pole,3,1,0.347,0.847,0.694
k12wm002,34,L Insula Lobe,4,0.833,0.736,0.714,0.693
k12wm006,30,L Insula Lobe,4,0.939,0.336,0.81,0.693
k12wm008,48,R Medial Temporal Pole,3,0.769,0.571,0.692,0.692
k12wm010,30,L Medial Temporal Pole,4,0.833,0.675,0.735,0.692
k12wm010,34,L Rectal Gyrus,3,0.817,0.625,0.733,0.692
k12wm010,42,L IFG (p Orbitalis),2,0.8,0.777,0.738,0.692
k12wm008,31,R Middle Temporal Gyrus,2,0.675,0.728,0.633,0.69
k12wm013,29,L Medial Temporal Pole,3,1,0.759,0.724,0.69
k12wm013,65,L IFG (p Orbitalis),4,0.857,0.724,0.724,0.69
k12wm010,85,L IFG (p Opercularis),3,0.743,0.682,0.742,0.689
k12wm008,39,R Superior Temporal Gyrus,4,1,0.58,0.924,0.688
k12wm008,67,R ParaHippocampal Gyrus,2,0.912,0.261,0.809,0.688
k12wm013,124,R Superior Temporal Gyrus,1,1,0.656,0.844,0.688
k12wm010,138,R Middle Temporal Gyrus,4,0.818,0.373,0.735,0.686
k12wm010,49,L IFG (p Triangularis),3,0.694,0.346,0.646,0.685
k12wm010,95,L Putamen,3,0.741,0.756,0.661,0.685
k12wm002,61,L Precentral Gyrus,4,0.882,0.741,0.835,0.684
k12wm003,33,L IFG (p Triangularis),4,0.729,0.316,0.491,0.684
k12wm003,35,L IFG (p Triangularis),2,0.75,0.358,0.621,0.684
k12wm008,71,R Inferior Temporal Gyrus,3,0.736,0.73,0.664,0.684
k12wm013,109,R Middle Frontal Gyrus,2,1,0.737,0.842,0.684
k12wm013,110,R Middle Frontal Gyrus,2,1,0.737,0.947,0.684
k12wm003,121,R Insula Lobe,4,0.97,0.738,0.905,0.683
k12wm010,129,L Superior Temporal Gyrus,2,0.708,0.769,0.731,0.683
k12wm008,29,R Middle Temporal Gyrus,3,0.795,0.745,0.682,0.682
k12wm010,72,L ACC,2,0.696,0.736,0.512,0.682
k12wm013,108,R Middle Frontal Gyrus,4,0.9,0.682,0.909,0.682
k12wm002,39,L ACC,4,0.818,0.775,0.804,0.681
k12wm007,25,L Middle Temporal Gyrus,3,1,0.72,0.82,0.68
k12wm010,88,L Middle Frontal Gyrus,4,0.931,0.708,0.811,0.679
k12wm011,133,Left Cerebral White Matter,3,0.897,0.321,0.74,0.679
k12wm013,64,L IFG (p Orbitalis),1,1,0.679,0.75,0.679
k12wm013,84,R IFG (p Triangularis),2,0.833,0.643,0.714,0.679
k12wm008,74,R Inferior Temporal Gyrus,2,0.679,0.698,0.664,0.678
k12wm009,47,L Superior Temporal Gyrus,4,0.919,0.657,0.811,0.678
k12wm009,13,Left Cerebral White Matter,2,0.667,0.697,0.758,0.677
k12wm010,86,Left Cerebral White Matter,4,1,0.708,0.831,0.677
k12wm010,103,L Middle Frontal Gyrus,4,0.708,0.715,0.638,0.677
k12wm013,3,L IFG (p Opercularis),3,1,0.29,0.806,0.677
k12wm013,8,L Insula Lobe,3,1,0.516,0.871,0.677
k12wm013,92,R Superior Temporal Gyrus,4,1,0.581,0.774,0.677
k12wm013,120,R Superior Temporal Gyrus,4,0.778,0.387,0.742,0.677
k12wm003,58,L Superior Orbital Gyrus,4,0.727,0.775,0.667,0.676
k12wm006,33,L Rolandic Operculum,4,0.922,0.478,0.794,0.676
k12wm008,29,R Middle Temporal Gyrus,2,0.775,0.739,0.675,0.675
k12wm008,34,R Insula Lobe,3,1,0.471,0.898,0.675
k12wm003,45,L Superior Temporal Gyrus,3,1,0.736,0.937,0.673
k12wm007,73,L IFG (p Orbitalis),3,1,0.455,0.764,0.673
k12wm008,69,R Fusiform Gyrus,2,1,0.737,0.942,0.673
k12wm002,52,Left Cerebral White Matter,4,0.919,0.746,0.858,0.672
k12wm011,124,L IFG (p Triangularis),1,0.865,0.218,0.765,0.672
k12wm002,99,Right Cerebral White Matter,4,0.708,0.724,0.704,0.671
k12wm006,36,L Superior Temporal Gyrus,3,1,0.664,0.849,0.671
k12wm006,43,L Postcentral Gyrus,4,0.926,0.49,0.797,0.671
k12wm008,20,R Middle Temporal Gyrus,2,0.662,0.723,0.6,0.671
k12wm008,25,R Fusiform Gyrus,3,0.885,0.487,0.703,0.671
k12wm008,49,R Medial Temporal Pole,2,0.75,0.755,0.671,0.671
k12wm011,143,L Heschls Gyrus,3,1,0.75,0.816,0.671
k12wm002,6,Left Cerebral White Matter,4,0.75,0.726,0.661,0.669
k12wm006,20,L Inferior Temporal Gyrus,1,1,0.75,0.885,0.669
k12wm011,165,L Middle Temporal Gyrus,2,0.792,0.752,0.676,0.669
k12wm003,41,L Postcentral Gyrus,4,0.975,0.748,0.843,0.667
k12wm010,31,L Medial Temporal Pole,4,0.932,0.344,0.8,0.667
k12wm010,128,L Superior Temporal Gyrus,4,1,0.719,0.816,0.667
k12wm013,123,R Superior Temporal Gyrus,3,0.929,0.567,0.633,0.667
k12wm008,26,R Fusiform Gyrus,3,0.846,0.589,0.772,0.665
k12wm002,30,L Heschls Gyrus,3,0.733,0.748,0.649,0.664
k12wm010,84,L IFG (p Opercularis),1,1,0.733,0.925,0.664
k12wm010,100,Left Cerebral White Matter,2,0.804,0.575,0.694,0.664
k12wm010,137,Right Cerebral White Matter,4,0.9,0.257,0.743,0.664
k12wm006,23,L Middle Temporal Gyrus,4,0.756,0.448,0.662,0.662
k12wm007,67,L Superior Orbital Gyrus,4,0.857,0.625,0.804,0.661
k12wm007,68,L IFG (p Orbitalis),2,0.893,0.714,0.732,0.661
k12wm006,44,L Postcentral Gyrus,3,0.744,0.571,0.635,0.66
k12wm007,48,L Insula Lobe,4,0.885,0.717,0.906,0.66
k12wm008,30,R Middle Temporal Gyrus,2,0.65,0.712,0.635,0.66
k12wm011,164,L Medial Temporal Pole,1,0.697,0.715,0.625,0.66
k12wm011,164,L Medial Temporal Pole,2,0.786,0.743,0.681,0.66
k12wm003,121,R Insula Lobe,3,0.948,0.77,0.897,0.659
k12wm010,41,L IFG (p Orbitalis),4,0.672,0.742,0.545,0.659
k12wm010,30,L Medial Temporal Pole,2,0.778,0.496,0.667,0.658
k12wm010,84,L IFG (p Opercularis),2,0.788,0.541,0.685,0.658
k12wm008,127,L Hippocampus,3,0.833,0.781,0.638,0.657
k12wm010,127,L Superior Temporal Gyrus,3,0.886,0.379,0.786,0.657
k12wm002,9,L ParaHippocampal Gyrus,4,0.758,0.56,0.68,0.656
k12wm002,30,L Heschls Gyrus,4,0.797,0.641,0.733,0.656
k12wm008,6,R Inferior Temporal Gyrus,2,0.625,0.695,0.656,0.656
k12wm008,38,R Superior Temporal Gyrus,4,1,0.586,0.936,0.656
k12wm008,99,R Insula Lobe,4,0.863,0.732,0.675,0.656
k12wm011,25,L Middle Temporal Gyrus,2,0.821,0.727,0.682,0.656
k12wm013,12,L Precentral Gyrus,1,1,0.688,0.75,0.656
k12wm013,90,R Superior Temporal Gyrus,1,1,0.781,0.875,0.656
k12wm013,90,R Superior Temporal Gyrus,4,1,0.344,0.938,0.656
k12wm013,124,R Superior Temporal Gyrus,2,1,0.75,0.844,0.656
k12wm007,72,L IFG (p Orbitalis),2,0.857,0.745,0.764,0.655
k12wm009,60,L SupraMarginal Gyrus,3,0.783,0.7,0.682,0.655
k12wm013,28,L Medial Temporal Pole,3,1,0.724,0.793,0.655
k12wm013,41,L ACC,4,1,0.207,0.621,0.655
k12wm013,96,R Medial Temporal Pole,3,1,0.586,0.931,0.655
k12wm013,96,R Medial Temporal Pole,4,0.833,0.207,0.69,0.655
k12wm013,111,R Middle Frontal Gyrus,1,0.786,0.69,0.69,0.655
k12wm013,111,R Middle Frontal Gyrus,4,1,0.655,0.759,0.655
k12wm006,44,L Postcentral Gyrus,4,0.846,0.429,0.75,0.654
k12wm007,0,L Amygdala,3,0.885,0.385,0.769,0.654
k12wm008,134,L Middle Temporal Gyrus,2,0.671,0.737,0.59,0.654
k12wm008,95,Right Cerebral White Matter,4,0.692,0.587,0.619,0.652
k12wm013,30,L ParaHippocampal Gyrus,4,1,0.565,0.783,0.652
k12wm008,3,R Hippocampus,1,0.608,0.75,0.625,0.651
k12wm009,61,L SupraMarginal Gyrus,3,0.776,0.566,0.623,0.651
k12wm010,58,L Insula Lobe,4,0.919,0.737,0.847,0.65
k12wm010,125,L Superior Temporal Gyrus,3,1,0.721,0.838,0.649
k12wm011,25,L Middle Temporal Gyrus,1,0.762,0.727,0.675,0.649
k12wm011,83,L Putamen,4,0.724,0.675,0.584,0.649
k12wm002,28,L Insula Lobe,4,0.924,0.563,0.831,0.648
k12wm002,40,L ACC,4,0.943,0.579,0.793,0.648
k12wm007,16,L Middle Temporal Gyrus,1,0.786,0.648,0.648,0.648
k12wm007,23,L Middle Temporal Gyrus,3,1,0.759,0.815,0.648
k12wm008,100,R Insula Lobe,2,0.85,0.604,0.824,0.648
k12wm010,43,L Insula Lobe,1,1,0.732,0.866,0.648
k12wm011,20,L Inferior Temporal Gyrus,4,0.667,0.264,0.61,0.648
k12wm002,4,Left Amygdala,3,0.632,0.662,0.551,0.647
k12wm013,20,L Postcentral Gyrus,1,0.6,0.588,0.706,0.647
k12wm008,64,R Middle Temporal Gyrus,3,0.711,0.361,0.639,0.646
k12wm010,124,L Superior Temporal Gyrus,3,1,0.688,0.885,0.646
k12wm011,150,L Superior Temporal Gyrus,1,0.803,0.7,0.762,0.646
k12wm009,58,L SupraMarginal Gyrus,1,0.804,0.612,0.628,0.645
k12wm009,60,L SupraMarginal Gyrus,1,0.661,0.636,0.536,0.645
k12wm010,121,L Superior Temporal Gyrus,4,1,0.702,0.95,0.645
k12wm010,139,R Middle Temporal Gyrus,4,0.729,0.282,0.673,0.645
k12wm011,92,L Postcentral Gyrus,2,0.966,0.427,0.855,0.645
k12wm013,2,L Insula Lobe,2,1,0.71,0.806,0.645
k12wm013,49,L Middle Frontal Gyrus,3,0.938,0.645,0.677,0.645
k12wm002,31,L Postcentral Gyrus,3,0.887,0.6,0.719,0.644
k12wm010,47,L IFG (p Triangularis),2,0.764,0.486,0.678,0.644
k12wm010,130,L Superior Temporal Gyrus,2,0.793,0.765,0.644,0.644
k12wm002,1,Left Amygdala,4,0.796,0.47,0.713,0.643
k12wm007,62,L IFG (p Triangularis),3,1,0.679,0.875,0.643
k12wm007,71,L IFG (p Orbitalis),1,1,0.286,0.857,0.643
k12wm007,89,R Fusiform Gyrus,2,1,0.375,0.768,0.643
k12wm008,17,Right Cerebral White Matter,2,0.688,0.72,0.599,0.643
k12wm010,48,L IFG (p Triangularis),1,0.924,0.587,0.802,0.643
k12wm011,159,L Fusiform Gyrus,3,0.671,0.721,0.671,0.643
k12wm013,64,L IFG (p Orbitalis),4,0.929,0.25,0.786,0.643
