Subject,ChannelIndex,ROI,ClassLabel,TrainAccuracy,FixationAccuracy,EncodingAccuracy,DelayAccuracy
k12wm002,34,L Insula Lobe,3,0.765,0.729,0.614,0.614
k12wm008,64,R Middle Temporal Gyrus,2,0.675,0.747,0.595,0.614
k12wm008,125,L Middle Temporal Gyrus,3,0.628,0.481,0.608,0.614
k12wm010,128,L Superior Temporal Gyrus,3,0.931,0.368,0.833,0.614
k12wm011,161,L Medial Temporal Pole,3,0.757,0.676,0.703,0.614
k12wm003,37,L IFG (p Triangularis),4,0.762,0.669,0.637,0.613
k12wm006,11,L Hippocampus,2,0.724,0.373,0.64,0.613
k12wm010,3,L Amygdala,3,0.833,0.563,0.63,0.613
k12wm013,48,L Middle Frontal Gyrus,1,0.812,0.71,0.645,0.613
k12wm013,49,L Middle Frontal Gyrus,4,1,0.387,0.774,0.613
k12wm013,92,R Superior Temporal Gyrus,1,1,0.613,0.871,0.613
k12wm013,112,R Middle Frontal Gyrus,2,0.75,0.645,0.742,0.613
k12wm008,98,R Middle Frontal Gyrus,3,0.771,0.47,0.649,0.612
k12wm009,42,L IFG (p Triangularis),4,0.986,0.309,0.789,0.612
k12wm010,59,L IFG (p Opercularis),3,0.765,0.403,0.731,0.612
k12wm010,59,L IFG (p Opercularis),4,0.871,0.672,0.724,0.612
k12wm011,144,L Superior Temporal Gyrus,4,1,0.421,0.928,0.612
k12wm011,162,L Medial Temporal Pole,3,0.77,0.558,0.66,0.612
k12wm008,120,L Inferior Temporal Gyrus,2,0.756,0.605,0.694,0.611
k12wm010,48,L IFG (p Triangularis),2,0.786,0.778,0.683,0.611
k12wm011,93,L SupraMarginal Gyrus,4,0.718,0.599,0.631,0.611
k12wm003,32,L Insula Lobe,2,0.757,0.26,0.616,0.61
k12wm003,62,L IFG (p Orbitalis),4,0.81,0.537,0.675,0.61
k12wm006,0,L Hippocampus,3,0.968,0.366,0.764,0.61
k12wm008,128,L Hippocampus,1,0.853,0.552,0.724,0.61
k12wm008,130,Left Cerebral White Matter,4,1,0.648,0.792,0.61
k12wm006,1,L Hippocampus,4,0.824,0.728,0.748,0.609
k12wm009,17,L Superior Temporal Gyrus,1,0.688,0.728,0.576,0.609
k12wm011,48,L Middle Frontal Gyrus,1,0.727,0.461,0.672,0.609
k12wm013,30,L ParaHippocampal Gyrus,2,1,0.652,0.696,0.609
k12wm002,94,R Insula Lobe,4,0.75,0.752,0.656,0.608
k12wm008,14,R ParaHippocampal Gyrus,3,0.705,0.437,0.614,0.608
k12wm008,72,R Inferior Temporal Gyrus,2,0.679,0.642,0.622,0.608
k12wm002,45,L Middle Frontal Gyrus,4,0.7,0.667,0.627,0.607
k12wm006,21,L Inferior Temporal Gyrus,1,0.792,0.641,0.676,0.607
k12wm007,40,L Insula Lobe,1,0.964,0.732,0.786,0.607
k12wm007,89,R Fusiform Gyrus,3,1,0.607,0.786,0.607
k12wm010,66,L Middle Frontal Gyrus,1,0.72,0.702,0.714,0.607
k12wm013,93,R Fusiform Gyrus,4,1,0.714,0.75,0.607
k12wm008,95,Right Cerebral White Matter,2,0.974,0.31,0.819,0.606
k12wm010,13,L Fusiform Gyrus,2,0.769,0.532,0.691,0.606
k12wm010,41,L IFG (p Orbitalis),1,0.708,0.727,0.674,0.606
k12wm010,73,L ACC,1,0.697,0.74,0.496,0.606
k12wm013,88,R Superior Temporal Gyrus,3,1,0.364,0.788,0.606
k12wm002,93,R Insula Lobe,1,0.844,0.387,0.739,0.605
k12wm008,1,R ParaHippocampal Gyrus,2,0.708,0.633,0.653,0.605
k12wm008,5,R Fusiform Gyrus,3,0.782,0.248,0.631,0.605
k12wm008,47,R Medial Temporal Pole,2,0.671,0.758,0.631,0.605
k12wm008,120,L Inferior Temporal Gyrus,1,0.6,0.439,0.586,0.605
k12wm011,124,L IFG (p Triangularis),3,0.946,0.765,0.773,0.605
k12wm003,31,L Insula Lobe,3,0.7,0.278,0.59,0.604
k12wm008,0,R ParaHippocampal Gyrus,2,0.737,0.356,0.651,0.604
k12wm008,22,R ParaHippocampal Gyrus,3,1,0.631,0.792,0.604
k12wm008,74,R Inferior Temporal Gyrus,3,0.851,0.463,0.745,0.604
k12wm008,121,L Inferior Temporal Gyrus,1,1,0.721,0.779,0.604
k12wm006,46,L Superior Temporal Gyrus,4,0.885,0.404,0.801,0.603
k12wm008,9,R Inferior Temporal Gyrus,2,0.705,0.728,0.649,0.603
k12wm008,69,R Fusiform Gyrus,3,0.934,0.244,0.776,0.603
k12wm009,40,L IFG (p Triangularis),4,0.742,0.691,0.662,0.603
k12wm010,121,L Superior Temporal Gyrus,2,1,0.471,0.835,0.603
k12wm011,163,L Medial Temporal Pole,3,0.789,0.325,0.689,0.603
k12wm002,103,R Middle Frontal Gyrus,2,0.727,0.732,0.667,0.602
k12wm009,62,L Inferior Parietal Lobule,3,0.667,0.685,0.602,0.602
k12wm010,33,L Middle Temporal Gyrus,4,0.761,0.581,0.688,0.602
k12wm008,72,R Inferior Temporal Gyrus,3,0.667,0.723,0.628,0.601
k12wm002,31,L Postcentral Gyrus,2,1,0.748,0.793,0.6
k12wm007,63,L IFG (p Triangularis),4,0.821,0.636,0.673,0.6
k12wm008,23,R ParaHippocampal Gyrus,2,0.724,0.748,0.658,0.6
k12wm010,36,L Superior Orbital Gyrus,1,1,0.696,0.848,0.6
k12wm013,1,L Insula Lobe,1,1,0.567,0.833,0.6
k12wm013,1,L Insula Lobe,2,0.812,0.5,0.633,0.6
k12wm013,15,L Insula Lobe,4,1,0.733,0.767,0.6
k12wm013,66,L IFG (p Orbitalis),3,0.929,0.533,0.633,0.6
k12wm013,95,R Medial Temporal Pole,3,1,0.7,0.7,0.6
k12wm013,132,R ParaHippocampal Gyrus,2,1,0.64,0.72,0.6
k12wm002,27,L Insula Lobe,3,0.926,0.255,0.642,0.599
k12wm002,35,L IFG (p Opercularis),1,0.757,0.289,0.592,0.599
k12wm002,100,Right Cerebral White Matter,4,0.757,0.717,0.757,0.599
k12wm008,63,R Inferior Temporal Gyrus,2,1,0.561,0.809,0.599
k12wm010,30,L Medial Temporal Pole,3,0.846,0.265,0.709,0.598
k12wm003,60,L IFG (p Orbitalis),4,0.734,0.291,0.619,0.597
k12wm008,13,R ParaHippocampal Gyrus,1,0.778,0.694,0.715,0.597
k12wm008,121,L Inferior Temporal Gyrus,3,0.671,0.656,0.643,0.597
k12wm010,3,L Amygdala,4,0.803,0.429,0.689,0.597
k12wm003,67,L IFG (p Triangularis),4,0.667,0.679,0.641,0.596
k12wm006,36,L Superior Temporal Gyrus,2,0.729,0.637,0.712,0.596
k12wm006,36,L Superior Temporal Gyrus,4,0.795,0.37,0.692,0.596
k12wm006,37,L Middle Temporal Gyrus,4,0.757,0.439,0.719,0.596
k12wm008,61,R Inferior Temporal Gyrus,3,0.75,0.25,0.66,0.596
k12wm008,69,R Fusiform Gyrus,4,0.949,0.686,0.853,0.596
k12wm010,128,L Superior Temporal Gyrus,2,0.731,0.737,0.719,0.596
k12wm011,36,L Medial Temporal Pole,4,0.806,0.651,0.616,0.596
k12wm011,76,L SupraMarginal Gyrus,1,0.796,0.367,0.642,0.596
k12wm003,98,R Medial Temporal Pole,1,0.769,0.392,0.641,0.595
k12wm010,121,L Superior Temporal Gyrus,1,1,0.248,0.884,0.595
k12wm003,40,L Rolandic Operculum,3,0.9,0.269,0.769,0.594
k12wm006,43,L Postcentral Gyrus,2,0.829,0.713,0.699,0.594
k12wm010,124,L Superior Temporal Gyrus,4,1,0.719,0.906,0.594
k12wm011,60,L Inferior Parietal Lobule,3,0.886,0.66,0.708,0.594
k12wm011,60,L Inferior Parietal Lobule,4,0.778,0.425,0.698,0.594
k12wm013,17,L Rolandic Operculum,1,0.688,0.688,0.594,0.594
k12wm013,47,L Middle Frontal Gyrus,3,1,0.625,0.688,0.594
k12wm013,91,R Superior Temporal Gyrus,3,1,0.75,0.812,0.594
k12wm013,91,R Superior Temporal Gyrus,4,1,0.281,0.875,0.594
k12wm013,124,R Superior Temporal Gyrus,4,1,0.625,0.812,0.594
k12wm002,40,L ACC,1,0.931,0.331,0.752,0.593
k12wm002,65,Left Amygdala,1,0.722,0.681,0.717,0.593
k12wm007,2,L Amygdala,4,0.923,0.333,0.667,0.593
k12wm007,16,L Middle Temporal Gyrus,2,0.786,0.407,0.574,0.593
k12wm009,56,L SupraMarginal Gyrus,4,0.736,0.637,0.63,0.593
k12wm011,105,L Middle Frontal Gyrus,4,0.711,0.676,0.655,0.593
k12wm013,21,L Postcentral Gyrus,3,0.917,0.37,0.63,0.593
k12wm013,33,L Fusiform Gyrus,4,1,0.296,0.852,0.593
k12wm013,40,L ACC,1,0.875,0.481,0.741,0.593
k12wm013,40,L ACC,3,1,0.704,0.63,0.593
k12wm002,37,L IFG (p Opercularis),4,0.75,0.276,0.638,0.592
k12wm002,67,Right Cerebral White Matter,1,1,0.508,0.8,0.592
k12wm006,24,L Middle Temporal Gyrus,1,0.684,0.369,0.656,0.592
k12wm006,48,L SupraMarginal Gyrus,4,0.833,0.336,0.658,0.592
k12wm007,8,L Middle Temporal Gyrus,4,0.808,0.367,0.612,0.592
k12wm008,132,L Middle Temporal Gyrus,2,0.882,0.567,0.739,0.592
k12wm011,4,Left Amygdala,4,1,0.325,0.841,0.592
k12wm003,114,R Insula Lobe,2,0.885,0.374,0.713,0.591
k12wm006,31,L Rolandic Operculum,4,0.936,0.344,0.838,0.591
k12wm008,73,R Inferior Temporal Gyrus,3,0.763,0.678,0.638,0.591
k12wm008,131,Left Cerebral White Matter,3,0.705,0.358,0.654,0.591
k12wm009,63,L Inferior Parietal Lobule,3,0.727,0.686,0.606,0.591
k12wm010,23,L Inferior Temporal Gyrus,1,1,0.656,0.871,0.591
k12wm010,23,L Inferior Temporal Gyrus,4,1,0.484,0.785,0.591
k12wm008,10,R Inferior Temporal Gyrus,3,0.838,0.256,0.654,0.59
k12wm010,61,L IFG (p Opercularis),4,0.771,0.662,0.691,0.59
k12wm003,97,R Fusiform Gyrus,2,0.797,0.656,0.781,0.589
k12wm006,42,L Rolandic Operculum,3,0.815,0.701,0.748,0.589
k12wm007,70,L IFG (p Orbitalis),2,0.964,0.643,0.714,0.589
k12wm007,90,R Fusiform Gyrus,3,0.75,0.643,0.786,0.589
k12wm008,19,R Inferior Temporal Gyrus,2,0.675,0.722,0.57,0.589
k12wm008,25,R Fusiform Gyrus,1,0.9,0.671,0.741,0.589
k12wm008,51,R Inferior Temporal Gyrus,3,0.667,0.557,0.658,0.589
k12wm009,67,R Fusiform Gyrus,4,0.819,0.596,0.73,0.589
k12wm010,45,L IFG (p Triangularis),4,0.724,0.678,0.671,0.589
k12wm011,155,R Fusiform Gyrus,2,0.75,0.702,0.669,0.589
k12wm006,20,L Inferior Temporal Gyrus,3,0.792,0.649,0.622,0.588
k12wm007,66,L Rectal Gyrus,1,0.714,0.451,0.627,0.588
k12wm007,77,L Fusiform Gyrus,4,0.875,0.588,0.647,0.588
k12wm010,57,L Insula Lobe,4,0.905,0.522,0.787,0.588
k12wm010,44,L Insula Lobe,2,0.844,0.28,0.643,0.587
k12wm006,47,L SupraMarginal Gyrus,4,0.847,0.289,0.776,0.586
k12wm008,70,R Inferior Temporal Gyrus,4,0.744,0.72,0.675,0.586
k12wm009,13,Left Cerebral White Matter,4,1,0.293,0.859,0.586
k12wm010,37,L Superior Orbital Gyrus,3,0.814,0.556,0.752,0.586
k12wm011,93,L SupraMarginal Gyrus,2,1,0.306,0.822,0.586
k12wm013,4,L IFG (p Triangularis),1,0.929,0.586,0.793,0.586
k12wm013,14,L Insula Lobe,3,1,0.552,0.793,0.586
k12wm013,28,L Medial Temporal Pole,4,1,0.31,0.759,0.586
k12wm013,29,L Medial Temporal Pole,4,0.944,0.276,0.724,0.586
k12wm013,82,R Insula Lobe,1,0.938,0.655,0.724,0.586
k12wm002,18,L ParaHippocampal Gyrus,3,0.768,0.309,0.65,0.585
k12wm002,28,L Insula Lobe,3,0.75,0.761,0.683,0.585
k12wm007,24,L Middle Temporal Gyrus,4,0.821,0.283,0.679,0.585
k12wm008,58,R Fusiform Gyrus,3,0.897,0.39,0.704,0.585
k12wm010,13,L Fusiform Gyrus,3,1,0.287,0.777,0.585
k12wm010,42,L IFG (p Orbitalis),3,0.848,0.462,0.731,0.585
k12wm010,135,R Fusiform Gyrus,4,0.766,0.338,0.715,0.585
k12wm002,2,Left Amygdala,3,0.806,0.568,0.704,0.584
k12wm003,42,L Postcentral Gyrus,4,0.812,0.286,0.734,0.584
k12wm008,21,R Middle Temporal Gyrus,2,0.725,0.617,0.584,0.584
k12wm008,73,R Inferior Temporal Gyrus,1,0.686,0.282,0.664,0.584
k12wm009,63,L Inferior Parietal Lobule,4,0.643,0.657,0.562,0.584
k12wm006,1,L Hippocampus,3,0.676,0.278,0.603,0.583
k12wm008,30,R Middle Temporal Gyrus,1,0.897,0.237,0.718,0.583
k12wm009,35,L Inferior Temporal Gyrus,2,0.661,0.68,0.592,0.583
k12wm011,137,L IFG (p Opercularis),4,0.826,0.769,0.667,0.583
k12wm011,160,L Medial Temporal Pole,3,0.73,0.722,0.667,0.583
k12wm013,135,R Inferior Temporal Gyrus,4,1,0.292,0.917,0.583
k12wm003,60,L IFG (p Orbitalis),3,0.773,0.41,0.694,0.582
k12wm006,36,L Superior Temporal Gyrus,1,0.838,0.692,0.808,0.582
k12wm007,73,L IFG (p Orbitalis),2,1,0.364,0.764,0.582
k12wm008,15,R Fusiform Gyrus,3,0.718,0.335,0.525,0.582
k12wm011,36,L Medial Temporal Pole,3,0.757,0.705,0.637,0.582
k12wm002,4,Left Amygdala,4,0.897,0.64,0.743,0.581
k12wm003,72,R Hippocampus,1,0.59,0.703,0.613,0.581
k12wm008,23,R ParaHippocampal Gyrus,1,0.7,0.71,0.619,0.581
k12wm013,3,L IFG (p Opercularis),1,1,0.516,0.806,0.581
k12wm013,8,L Insula Lobe,4,0.778,0.548,0.645,0.581
k12wm013,48,L Middle Frontal Gyrus,4,0.929,0.29,0.581,0.581
k12wm013,85,R IFG (p Triangularis),2,1,0.323,0.806,0.581
k12wm002,93,R Insula Lobe,2,0.703,0.521,0.681,0.58
k12wm003,34,L IFG (p Triangularis),4,0.816,0.784,0.705,0.58
k12wm006,2,L Hippocampus,3,0.789,0.516,0.669,0.58
k12wm010,44,L Insula Lobe,1,0.947,0.685,0.783,0.58
k12wm011,133,Left Cerebral White Matter,4,0.647,0.55,0.573,0.58
k12wm003,78,R Middle Temporal Gyrus,2,1,0.48,0.757,0.579
k12wm006,21,L Inferior Temporal Gyrus,3,0.792,0.503,0.669,0.579
k12wm009,39,L IFG (p Opercularis),3,0.681,0.736,0.55,0.579
k12wm010,37,L Superior Orbital Gyrus,2,0.733,0.759,0.586,0.579
k12wm010,128,L Superior Temporal Gyrus,1,0.924,0.509,0.807,0.579
k12wm002,8,L Middle Temporal Gyrus,4,1,0.569,0.81,0.578
k12wm010,71,L ACC,1,0.779,0.719,0.648,0.578
k12wm010,136,R Fusiform Gyrus,4,0.904,0.276,0.647,0.578
k12wm011,106,L Middle Frontal Gyrus,4,0.794,0.6,0.704,0.578
k12wm002,27,L Insula Lobe,2,0.803,0.679,0.657,0.577
k12wm006,0,L Hippocampus,2,1,0.374,0.772,0.577
k12wm008,8,R Inferior Temporal Gyrus,3,0.716,0.369,0.55,0.577
k12wm008,46,R Medial Temporal Pole,1,0.775,0.455,0.673,0.577
k12wm008,73,R Inferior Temporal Gyrus,2,0.718,0.671,0.624,0.577
k12wm013,0,L Insula Lobe,3,0.75,0.231,0.5,0.577
k12wm013,0,L Insula Lobe,4,1,0.5,0.769,0.577
k12wm013,122,R Superior Temporal Gyrus,3,1,0.731,0.577,0.577
k12wm002,24,L Middle Temporal Gyrus,4,0.768,0.644,0.697,0.576
k12wm008,101,R Insula Lobe,3,0.846,0.69,0.791,0.576
k12wm008,125,L Middle Temporal Gyrus,2,0.936,0.658,0.791,0.576
k12wm002,5,Left Cerebral White Matter,1,0.697,0.646,0.654,0.575
k12wm002,16,L Middle Temporal Gyrus,1,0.773,0.646,0.638,0.575
k12wm002,29,L Heschls Gyrus,4,0.959,0.542,0.824,0.575
k12wm010,126,L Superior Temporal Gyrus,3,0.661,0.611,0.584,0.575
k12wm010,126,L Superior Temporal Gyrus,4,0.845,0.398,0.664,0.575
k12wm011,17,L Middle Temporal Gyrus,4,0.789,0.255,0.647,0.575
k12wm011,60,L Inferior Parietal Lobule,2,0.839,0.33,0.679,0.575
k12wm011,61,L Inferior Parietal Lobule,1,0.9,0.35,0.8,0.575
k12wm011,84,L Insula Lobe,4,0.743,0.418,0.725,0.575
k12wm011,151,L Superior Temporal Gyrus,2,0.758,0.604,0.709,0.575
k12wm011,157,R Middle Temporal Gyrus,3,0.7,0.52,0.638,0.575
k12wm002,10,L ParaHippocampal Gyrus,2,0.732,0.617,0.638,0.574
k12wm003,99,R Medial Temporal Pole,3,0.727,0.344,0.639,0.574
k12wm007,76,L Fusiform Gyrus,3,0.75,0.702,0.702,0.574
k12wm009,49,L Insula Lobe,4,1,0.748,0.794,0.574
k12wm011,122,L IFG (p Orbitalis),2,1,0.355,0.738,0.574
k12wm002,23,Left Cerebral White Matter,1,0.774,0.618,0.679,0.573
k12wm008,28,R Middle Temporal Gyrus,3,0.885,0.682,0.815,0.573
k12wm010,22,L Inferior Temporal Gyrus,2,0.833,0.682,0.673,0.573
k12wm008,87,R IFG (p Triangularis),3,0.73,0.605,0.579,0.572
k12wm008,129,L Hippocampus,2,0.725,0.503,0.679,0.572
k12wm009,42,L IFG (p Triangularis),3,0.7,0.507,0.612,0.572
k12wm009,68,R Inferior Temporal Gyrus,3,0.77,0.408,0.704,0.572
k12wm006,44,L Postcentral Gyrus,2,1,0.577,0.885,0.571
k12wm010,3,L Amygdala,1,0.817,0.739,0.706,0.571
k12wm010,127,L Superior Temporal Gyrus,4,0.77,0.521,0.693,0.571
k12wm011,83,L Putamen,3,0.803,0.675,0.714,0.571
k12wm013,59,L Rectal Gyrus,4,1,0.476,0.667,0.571
k12wm013,81,R Insula Lobe,1,0.9,0.238,0.714,0.571
k12wm013,94,R Medial Temporal Pole,2,0.929,0.571,0.607,0.571
k12wm002,66,Left Amygdala,4,0.903,0.659,0.681,0.57
k12wm008,51,R Inferior Temporal Gyrus,2,0.75,0.747,0.665,0.57
k12wm009,70,R Inferior Temporal Gyrus,3,0.645,0.709,0.603,0.57
k12wm010,33,L Middle Temporal Gyrus,1,0.732,0.688,0.699,0.57
k12wm003,59,L IFG (p Orbitalis),2,0.677,0.618,0.675,0.569
k12wm007,14,L Middle Temporal Gyrus,3,0.962,0.706,0.824,0.569
k12wm007,77,L Fusiform Gyrus,1,0.857,0.686,0.667,0.569
k12wm003,34,L IFG (p Triangularis),1,0.648,0.341,0.682,0.568
k12wm003,51,L Superior Temporal Gyrus,3,0.765,0.288,0.691,0.568
k12wm006,20,L Inferior Temporal Gyrus,4,0.855,0.345,0.723,0.568
k12wm008,95,Right Cerebral White Matter,1,0.679,0.639,0.639,0.568
k12wm010,35,L Rectal Gyrus,2,0.75,0.44,0.616,0.568
k12wm010,36,L Superior Orbital Gyrus,3,0.774,0.48,0.656,0.568
k12wm010,74,L ACC,3,0.883,0.544,0.728,0.568
k12wm002,7,L Middle Temporal Gyrus,3,0.638,0.3,0.508,0.567
k12wm002,25,L Middle Temporal Gyrus,1,0.688,0.685,0.614,0.567
k12wm006,2,L Hippocampus,4,0.738,0.701,0.694,0.567
k12wm011,4,Left Amygdala,2,0.705,0.707,0.656,0.567
k12wm011,13,L Middle Temporal Gyrus,4,0.821,0.306,0.713,0.567
k12wm011,122,L IFG (p Orbitalis),4,1,0.475,0.745,0.567
k12wm011,158,R Middle Temporal Gyrus,1,0.71,0.769,0.634,0.567
k12wm013,1,L Insula Lobe,3,1,0.667,0.8,0.567
k12wm013,5,L IFG (p Triangularis),3,0.929,0.6,0.833,0.567
k12wm013,66,L IFG (p Orbitalis),2,1,0.633,0.833,0.567
k12wm013,66,L IFG (p Orbitalis),4,0.938,0.767,0.8,0.567
k12wm013,80,L Middle Frontal Gyrus,3,0.833,0.8,0.533,0.567
k12wm003,73,R Hippocampus,2,0.662,0.662,0.581,0.566
k12wm003,73,R Hippocampus,4,0.676,0.36,0.515,0.566
k12wm006,22,L Middle Temporal Gyrus,2,0.8,0.648,0.676,0.566
k12wm006,33,L Rolandic Operculum,3,0.926,0.39,0.772,0.566
k12wm008,117,L ParaHippocampal Gyrus,4,0.887,0.591,0.73,0.566
k12wm008,130,Left Cerebral White Matter,1,0.7,0.377,0.686,0.566
k12wm002,1,Left Amygdala,1,0.796,0.557,0.687,0.565
k12wm003,42,L Postcentral Gyrus,3,0.923,0.266,0.714,0.565
k12wm006,35,L Superior Temporal Gyrus,1,0.868,0.747,0.818,0.565
k12wm010,39,L IFG (p Orbitalis),4,0.905,0.457,0.739,0.565
k12wm007,73,L IFG (p Orbitalis),1,0.964,0.618,0.873,0.564
k12wm007,75,L IFG (p Orbitalis),2,0.962,0.509,0.873,0.564
k12wm008,12,R ParaHippocampal Gyrus,2,0.688,0.729,0.6,0.564
k12wm008,46,R Medial Temporal Pole,2,0.75,0.756,0.647,0.564
k12wm008,48,R Medial Temporal Pole,2,0.737,0.75,0.66,0.564
k12wm002,43,Left Cerebral White Matter,1,0.737,0.278,0.675,0.563
k12wm002,43,Left Cerebral White Matter,4,1,0.272,0.815,0.563
k12wm002,61,L Precentral Gyrus,1,0.812,0.595,0.684,0.563
k12wm008,16,R Inferior Temporal Gyrus,3,0.897,0.329,0.816,0.563
k12wm009,38,L IFG (p Opercularis),4,0.775,0.532,0.677,0.563
k12wm010,43,L Insula Lobe,3,0.765,0.324,0.669,0.563
k12wm011,124,L IFG (p Triangularis),2,0.935,0.311,0.798,0.563
k12wm003,32,L Insula Lobe,3,0.671,0.452,0.596,0.562
k12wm010,58,L Insula Lobe,3,0.818,0.686,0.708,0.562
k12wm011,138,L IFG (p Opercularis),4,0.73,0.712,0.678,0.562
k12wm013,17,L Rolandic Operculum,3,1,0.531,0.719,0.562
k12wm013,34,L Inferior Temporal Gyrus,4,0.812,0.375,0.75,0.562
k12wm013,46,L Middle Frontal Gyrus,2,0.812,0.781,0.688,0.562
k12wm002,75,R Hippocampus,1,0.979,0.327,0.837,0.561
k12wm006,42,L Rolandic Operculum,4,0.704,0.421,0.654,0.561
k12wm008,32,R Middle Temporal Gyrus,1,0.628,0.427,0.624,0.561
k12wm008,45,R Fusiform Gyrus,3,0.949,0.287,0.777,0.561
k12wm008,132,L Middle Temporal Gyrus,3,0.872,0.293,0.713,0.561
k12wm008,133,L Middle Temporal Gyrus,3,0.808,0.316,0.652,0.561
k12wm010,97,Left Cerebral White Matter,4,0.829,0.626,0.691,0.561
k12wm002,9,L ParaHippocampal Gyrus,3,0.703,0.4,0.6,0.56
k12wm007,26,L Middle Temporal Gyrus,4,0.962,0.54,0.76,0.56
k12wm008,52,R Inferior Temporal Gyrus,2,0.675,0.748,0.597,0.56
k12wm008,52,R Inferior Temporal Gyrus,4,0.812,0.333,0.673,0.56
k12wm010,32,L Middle Temporal Gyrus,3,0.905,0.53,0.72,0.56
k12wm010,40,L IFG (p Orbitalis),3,0.758,0.291,0.701,0.56
k12wm010,87,Left Cerebral White Matter,3,0.733,0.704,0.648,0.56
k12wm013,23,L Medial Temporal Pole,1,1,0.6,0.88,0.56
k12wm013,23,L Medial Temporal Pole,3,0.929,0.28,0.68,0.56
k12wm013,132,R ParaHippocampal Gyrus,3,1,0.52,0.76,0.56
k12wm002,16,L Middle Temporal Gyrus,4,0.648,0.724,0.559,0.559
k12wm003,78,R Middle Temporal Gyrus,1,0.724,0.678,0.632,0.559
k12wm003,91,R Hippocampus,3,0.797,0.346,0.566,0.559
k12wm006,21,L Inferior Temporal Gyrus,4,0.932,0.497,0.779,0.559
k12wm008,3,R Hippocampus,2,0.684,0.263,0.612,0.559
k12wm010,46,L IFG (p Triangularis),1,0.903,0.345,0.745,0.559
k12wm010,102,L Middle Frontal Gyrus,1,0.722,0.551,0.706,0.559
k12wm007,0,L Amygdala,1,0.769,0.577,0.712,0.558
k12wm007,0,L Amygdala,2,0.893,0.692,0.635,0.558
k12wm007,1,L Amygdala,2,1,0.481,0.673,0.558
k12wm007,1,L Amygdala,3,0.885,0.423,0.731,0.558
k12wm008,68,R Fusiform Gyrus,2,1,0.487,0.923,0.558
k12wm008,68,R Fusiform Gyrus,4,0.974,0.718,0.891,0.558
k12wm003,61,L IFG (p Orbitalis),2,0.706,0.29,0.573,0.557
k12wm008,4,R Hippocampus,4,0.9,0.696,0.734,0.557
k12wm002,15,Left Cerebral White Matter,3,0.703,0.444,0.587,0.556
k12wm007,23,L Middle Temporal Gyrus,1,1,0.296,0.796,0.556
k12wm008,7,R Inferior Temporal Gyrus,3,0.743,0.344,0.682,0.556
k12wm009,62,L Inferior Parietal Lobule,4,0.672,0.62,0.62,0.556
k12wm010,37,L Superior Orbital Gyrus,1,0.788,0.481,0.722,0.556
k12wm011,131,Left Cerebral White Matter,2,0.782,0.556,0.695,0.556
k12wm013,33,L Fusiform Gyrus,3,1,0.444,0.741,0.556
k12wm013,133,R Fusiform Gyrus,4,1,0.519,0.667,0.556
k12wm002,14,Left Cerebral White Matter,3,0.703,0.445,0.594,0.555
k12wm003,39,L Rolandic Operculum,4,0.676,0.761,0.652,0.555
k12wm009,60,L SupraMarginal Gyrus,4,0.769,0.418,0.627,0.555
k12wm010,22,L Inferior Temporal Gyrus,1,0.903,0.655,0.727,0.555
k12wm011,92,L Postcentral Gyrus,4,1,0.691,0.718,0.555
k12wm007,71,L IFG (p Orbitalis),2,0.893,0.696,0.786,0.554
k12wm007,74,L IFG (p Orbitalis),2,0.75,0.625,0.661,0.554
k12wm007,88,R Fusiform Gyrus,1,1,0.339,0.875,0.554
k12wm008,41,R Insula Lobe,4,0.863,0.701,0.739,0.554
k12wm010,86,Left Cerebral White Matter,2,0.786,0.262,0.777,0.554
k12wm002,10,L ParaHippocampal Gyrus,4,1,0.713,0.745,0.553
k12wm002,18,L ParaHippocampal Gyrus,4,1,0.537,0.772,0.553
k12wm002,47,L Middle Frontal Gyrus,3,0.713,0.396,0.635,0.553
k12wm006,25,L Insula Lobe,4,0.9,0.635,0.73,0.553
k12wm007,76,L Fusiform Gyrus,1,1,0.617,0.872,0.553
k12wm008,52,R Inferior Temporal Gyrus,3,0.667,0.553,0.604,0.553
k12wm008,94,R Insula Lobe,2,0.637,0.629,0.604,0.553
k12wm010,83,L IFG (p Opercularis),3,0.694,0.44,0.66,0.553
k12wm002,76,R Fusiform Gyrus,1,0.78,0.6,0.59,0.552
k12wm008,98,R Middle Frontal Gyrus,4,0.729,0.724,0.634,0.552
k12wm009,48,L Insula Lobe,4,0.662,0.461,0.584,0.552
k12wm010,35,L Rectal Gyrus,4,0.697,0.416,0.68,0.552
k12wm010,46,L IFG (p Triangularis),4,0.711,0.483,0.662,0.552
k12wm010,74,L ACC,2,0.966,0.728,0.76,0.552
k12wm010,100,Left Cerebral White Matter,1,0.797,0.731,0.724,0.552
k12wm011,25,L Middle Temporal Gyrus,4,0.75,0.247,0.727,0.552
k12wm013,4,L IFG (p Triangularis),4,1,0.379,0.759,0.552
k12wm013,29,L Medial Temporal Pole,2,0.929,0.586,0.552,0.552
k12wm013,65,L IFG (p Orbitalis),2,0.875,0.483,0.655,0.552
k12wm013,78,L Middle Frontal Gyrus,2,0.875,0.69,0.759,0.552
k12wm013,78,L Middle Frontal Gyrus,4,0.875,0.31,0.621,0.552
k12wm013,83,R Insula Lobe,1,0.938,0.655,0.931,0.552
k12wm013,83,R Insula Lobe,3,0.875,0.517,0.586,0.552
